Subregion,GID_0,NAME_0,RunCode,CandidateID,CandidateRegionID,ImporterV,EvidenceConfidence,Status
Algeria singleton,DZA,Algeria,dza,M67_GME_V2,M67_24_DZA_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Egypt singleton,EGY,Egypt,egy,M67_GME_V2,M67_26_EGY_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Morocco singleton,MAR,Morocco,mar,M67_GME_V2,M67_44_MAR_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Tunisia singleton,TUN,Tunisia,tun,M67_GME_V2,M67_64_TUN_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
