"CandidateID","CandidateRegionID","RunCode","Subregion","GID_0","NAME_0","ImporterV","EvidenceConfidence","Status","PermissionSetID","RegionBasis","ComponentSize","AcceptedEdgeCount","VSrcA","VSrcB","VSrcC"
"M85_B30_V1","M85_09_GMSN","GMSN","Gambia-Senegal bilateral charcoal region","SEN","Senegal",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
"M85_B30_V1","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","BFA","Burkina Faso",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","",""
"M85_B30_V1","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","CIV","C<U+00F4>te d'Ivoire",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","",""
"M85_B30_V1","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","GHA","Ghana",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","BFA;CIV;TGO",""
"M85_B30_V1","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","TGO","Togo",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","",""
"M85_B30_V1","M85_S_AGO","AGO","Angola domestic-only singleton","AGO","Angola",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_NAM","NAM","Namibia domestic-only singleton","NAM","Namibia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_DJI","DJI","Djibouti domestic-only singleton","DJI","Djibouti",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_ETH","ETH","Ethiopia domestic-only singleton","ETH","Ethiopia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_COM","COM","Comoros domestic-only singleton","COM","Comoros",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_CPV","CPV","Cabo Verde domestic-only singleton","CPV","Cabo Verde",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_ERI","ERI","Eritrea domestic-only singleton","ERI","Eritrea",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_GAB","GAB","Gabon domestic-only singleton","GAB","Gabon",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_GNQ","GNQ","Equatorial Guinea domestic-only singleton","GNQ","Equatorial Guinea",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_LBR","LBR","Liberia domestic-only singleton","LBR","Liberia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_LSO","LSO","Lesotho domestic-only singleton","LSO","Lesotho",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_MDG","MDG","Madagascar domestic-only singleton","MDG","Madagascar",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_MLI","MLI","Mali domestic-only singleton","MLI","Mali",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_MUS","MUS","Mauritius domestic-only singleton","MUS","Mauritius",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_SLE","SLE","Sierra Leone domestic-only singleton","SLE","Sierra Leone",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_STP","STP","Sao Tome and Principe domestic-only singleton","STP","Sao Tome and Principe",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
