GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity),,,,,,,
BLZ,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BOL,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BOL,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BOL,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BOL,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BOL,Electricity,0.000000000,0.026257055,0.001201376,,,,,,,,
BOL,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BOL,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BOL,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BOL,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
BOL,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
BOL,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BRA,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BRA,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BRA,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BRA,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BRA,Electricity,0.173690625,0.010730403,0.000649117,,,,,,,,
BRA,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BRA,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BRA,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BRA,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
BRA,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
BRA,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BTN,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BTN,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BTN,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BTN,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BTN,Electricity,0.000000000,0.000000000,0.000000000,,,,,,,,
BTN,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BTN,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BTN,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BTN,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
BTN,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
BTN,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BWA,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BWA,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BWA,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BWA,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BWA,Electricity,1.188259071,0.076717577,0.006202413,,,,,,,,
BWA,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BWA,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BWA,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BWA,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
BWA,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
BWA,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
CAF,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
CAF,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
CAF,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
CAF,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
CAF,Electricity,0.085530022,0.020819527,0.001324384,,,,,,,,
CAF,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
CAF,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
CAF,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
CAF,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
CAF,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
CAF,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
CIV,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
CIV,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
CIV,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
CIV,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
CIV,Electricity,0.000000000,0.031775383,0.001468099,,,,,,,,
CIV,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
CIV,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
CIV,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
CIV,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
CIV,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
CIV,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
CMR,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
CMR,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
CMR,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
CMR,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
CMR,Electricity,0.393521094,0.008564708,0.000493905,,,,,,,,
CMR,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
CMR,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
CMR,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
CMR,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
CMR,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
CMR,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
COD,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
COD,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
COD,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
COD,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
COD,Electricity,0.000453196,0.000116801,0.000008222,,,,,,,,
COD,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
COD,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
COD,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
COD,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
COD,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
COD,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
COG,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
COG,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
COG,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
COG,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
COG,Electricity,0.585779852,0.017930783,0.000812121,,,,,,,,
COG,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
COG,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
COG,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
COG,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
COG,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
COG,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
COL,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
COL,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
COL,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
COL,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
COL,Electricity,0.230588816,0.016936242,0.001104232,,,,,,,,
COL,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
COL,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
COL,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
COL,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
COL,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
COL,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
COM,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
COM,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
COM,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
COM,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
COM,Electricity,0.658278269,0.000000000,0.000000000,,,,,,,,
COM,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
