country,admin_level,demand_value,marginal_fnrb,nrb_2020_2030_1mc,harv_2020_2030_1mc,fnrb_2020_2030_1mc
Mozambique,Adm0,30,37.61,112946555,341050657,33
Mozambique Charcoal And Urban Fw Only,Adm0,-30,35.90,42366638,124105684,34
Mozambique Charcoal And Urban Fw Only,Adm0,-20,36.63,48730471,141833301,34
Mozambique Charcoal And Urban Fw Only,Adm0,-10,37.12,55180765,159561605,35
Mozambique Charcoal And Urban Fw Only,Adm0,0,37.63,61716007,177287577,35
Mozambique Charcoal And Urban Fw Only,Adm0,10,38.13,68342943,195015312,35
Mozambique Charcoal And Urban Fw Only,Adm0,20,38.38,75057010,212739246,35
Mozambique Charcoal And Urban Fw Only,Adm0,30,38.38,81858725,230460591,36
Mozambique Rural Fw Only,Adm0,-30,23.24,13521813,60430897,22
Mozambique Rural Fw Only,Adm0,-20,23.61,15527908,69063862,22
Mozambique Rural Fw Only,Adm0,-10,23.88,17555155,77696781,23
Mozambique Rural Fw Only,Adm0,0,24.15,19604706,86329746,23
Mozambique Rural Fw Only,Adm0,10,24.44,21677643,94962582,23
Mozambique Rural Fw Only,Adm0,20,24.59,23774946,103595338,23
Mozambique Rural Fw Only,Adm0,30,24.59,25897912,112228089,23
Niger,Adm0,-30,66.25,59029282,86515290,68
Niger,Adm0,-20,43.63,66384910,97617477,68
Niger,Adm0,-10,23.68,71894965,108138765,66
Niger,Adm0,0,0.41,75320601,118098742,64
Niger,Adm0,10,-21.27,76419507,127244139,60
Niger,Adm0,20,-30.74,75391096,135481213,56
Niger,Adm0,30,-30.74,73041525,143123686,51
Senegal,Adm0,-30,64.56,49252355,81155956,61
Senegal,Adm0,-20,67.36,56011146,91625755,61
Senegal,Adm0,-10,70.04,62928901,102093808,62
Senegal,Adm0,0,72.95,70108844,112554623,62
Senegal,Adm0,10,76.07,77605619,123048307,63
Senegal,Adm0,20,77.68,85476842,133620871,64
Senegal,Adm0,30,77.68,93744129,144263871,65
Tanzania,Adm0,-99,45.91,2453982,5651102,43
Tanzania,Adm0,-95,54.68,12828978,28251456,45
Tanzania,Adm0,-85,58.02,12828978,28251456,45
Tanzania,Adm0,-75,61.66,74462222,140961720,53
Tanzania,Adm0,-50,63.19,158813710,279848812,57
Tanzania,Adm0,-25,64.99,243145878,414525150,59
Tanzania,Adm0,-15,66.13,276858540,466650762,59
Tanzania,Adm0,-10,66.90,293668612,492269056,60
Tanzania,Adm0,-5,67.46,310671481,517781855,60
Tanzania,Adm0,0,67.89,327417958,542716642,60
Tanzania,Adm0,5,67.89,343852913,566967238,61
Tanzania,Adm0,10,67.79,359674650,590227464,61
Tanzania,Adm0,15,63.11,374710450,612417174,61
Tanzania,Adm0,25,60.81,404340696,656112561,62
Tanzania,Adm0,50,60.81,458697223,745506924,62
Tanzania Charcoal Urban Fw Only,Adm0,-30,60.99,144548826,279052691,52
Tanzania Charcoal Urban Fw Only,Adm0,-20,63.79,168712369,318669599,53
Tanzania Charcoal Urban Fw Only,Adm0,-10,65.66,193536490,358166044,54
Tanzania Charcoal Urban Fw Only,Adm0,0,67.58,218996828,397501987,55
Tanzania Charcoal Urban Fw Only,Adm0,10,69.47,245062217,436634116,56
Tanzania Charcoal Urban Fw Only,Adm0,20,70.40,271799485,475638507,57
Tanzania Charcoal Urban Fw Only,Adm0,30,70.40,299107011,514428271,58
Tanzania-Rural Fw-Only,Adm0,-30,41.91,45676165,116910192,39
Tanzania-Rural Fw-Only,Adm0,-20,42.21,52636725,133517489,39
Tanzania-Rural Fw-Only,Adm0,-10,42.67,59619435,150129284,40
Tanzania-Rural Fw-Only,Adm0,0,43.31,66665555,166750383,40
Tanzania-Rural Fw-Only,Adm0,10,44.08,73794951,183353909,40
Tanzania-Rural Fw-Only,Adm0,20,44.48,81037938,199938259,41
Tanzania-Rural Fw-Only,Adm0,30,44.48,88409056,216508886,41
Uganda,Adm0,-30,83.32,156899570,288969735,54
Uganda,Adm0,-20,86.54,188359435,326726928,58
Uganda,Adm0,-10,75.61,217989253,360391226,60
Uganda,Adm0,0,28.08,239103240,385362661,62
Uganda,Adm0,10,261.84,250887945,403900115,62
Uganda,Adm0,20,171.47,244761134,405513438,60
Uganda,Adm0,30,171.47,225121148,394059391,57
