config,label,bau_agb_2050_mg,ics_agb_2050_mg,delta_agb_2050_mg,avoided_loss_mg,regrowth_mg,avoided_loss_tco2e,regrowth_tco2e,agb_avoided_tco2e,enduse_avoided_tco2e,total_avoided_tco2e,baseline_delta_agb_mg,period_delta_agb_mg,period_avoided_loss_mg,period_regrowth_mg,period_agb_avoided_tco2e,period_total_avoided_tco2e,n_common,n_gated,n_neg_avoided,n_neg_regrowth,recon_ok
capped,capped,722788722.2589288,714258833.1186197,-8529889.140307236,-8529889.140307236,0,-14699842.285129469,0,-14699842.285129318,-1231426.4499571861,-15931268.735086504,-1073168.2557352334,-7456720.884572005,-7456720.884572005,0,-12850415.657745754,-14081842.10770294,574300,546059,179290,NA,TRUE
uncapped,uncapped,919007681.3665268,924738448.5753591,5730767.208832324,1306846.2385039926,4423920.970328331,2252131.684355214,7623890.472199156,9876022.15655442,-1231426.4499571861,8644595.706597233,77.53252458572388,5730689.676307738,1306875.9490833879,4423813.72722435,9875888.542170335,8644462.092213148,176867,42954,1194,12171,TRUE
