byregion == Regional
ASIA_adm0_india
ASIA_adm0_mongolia
ASIA_adm0_philippines
LATAM_adm0_bolivia
LATAM_adm0_espanhola
LATAM_adm0_salvador
OCEANIA_adm0_papuanewguinea
SSA_adm0_caboverde
SSA_adm0_comoros
SSA_adm0_madagascar
SSA_adm0_mauritius
SSA_adm0_southern
SSA_adm0_uganda
SSA_adm0_zambia
ASIA_adm0_bangladesh
ASIA_adm0_indonesia
ASIA_adm0_myanmar
ASIA_adm0_seasia
LATAM_adm0_brazil
LATAM_adm0_guyana
LATAM_adm0_southern
SSA_adm0_angola
SSA_adm0_cdivoire
SSA_adm0_eastern
SSA_adm0_malambique
SSA_adm0_niger
SSA_adm0_stp
SSA_adm0_westcentral
SSA_adm0_zimbabwe
ASIA_adm0_bhutan
ASIA_adm0_malaysia
ASIA_adm0_nepal
ASIA_adm0_srilanka
LATAM_adm0_CA
LATAM_adm0_jamaica
LATAM_adm0_western
SSA_adm0_benin
SSA_adm0_central
SSA_adm0_ghana
SSA_adm0_mali
SSA_adm0_northcentral
SSA_adm0_tanzania
SSA_adm0_western
ASIA_adm0_central
ASIA_adm0_middleeast
ASIA_adm0_pakistan
ASIA_adm0_timorleste
LATAM_adm0_colombia
LATAM_adm0_mexico
NorAfr_adm0_west
SSA_adm0_burkinafaso
SSA_adm0_chad
SSA_adm0_kenya
SSA_adm0_mauritania
SSA_adm0_senegambia
SSA_adm0_togo
SSA_adm0_westsouthern
ASIA_adm0_china
