Key*,LULC,rmax,rmaxSD,K,KSD,TOF
86,SSA_Tropical mountain system_Croplands,0.38,0.47,58,8,0
87,SSA_Tropical mountain system_Urban and Built-up Lands,0,0,36,22,1
88,SSA_Tropical mountain system_Cropland/Natural Vegetation Mosaics,0.29,0.35,77,11,0
89,SSA_Tropical mountain system_Barren,0,0,23,20,1
90,SSA_Tropical mountain system_Water Bodies,0,0,18,16,1
91,SSA_Subtropical humid forest_Evergreen Needleleaf Forests,0.1,0.09,96,7,0
92,SSA_Subtropical humid forest_Evergreen Broadleaf Forests,0.08,0.07,127,6,0
93,SSA_Subtropical humid forest_Deciduous Broadleaf Forests,0.12,0.11,85,6,0
94,SSA_Subtropical humid forest_Mixed Forests,0.09,0.08,108,9,0
95,SSA_Subtropical humid forest_Closed Shrublands,0.11,0.1,94,10,0
96,SSA_Subtropical humid forest_Open Shrublands,0.19,0.17,54,11,0
97,SSA_Subtropical humid forest_Woody Savannas,0.1,0.09,102,9,0
98,SSA_Subtropical humid forest_Savannas,0.12,0.11,81,9,0
99,SSA_Subtropical humid forest_Grasslands,0.15,0.14,66,11,0
100,SSA_Subtropical humid forest_Permanent Wetlands,0.11,0.1,89,6,0
101,SSA_Subtropical humid forest_Croplands,0.19,0.17,53,8,0
102,SSA_Subtropical humid forest_Urban and Built-up Lands,0,0,56,22,1
103,SSA_Subtropical humid forest_Cropland/Natural Vegetation Mosaics,0.15,0.13,67,11,0
104,SSA_Subtropical humid forest_Barren,0,0,11,12,1
105,SSA_Subtropical humid forest_Water Bodies,0,0,20,19,1
106,SSA_Subtropical dry forest_Evergreen Needleleaf Forests,0.08,0.08,115,14,0
107,SSA_Subtropical dry forest_Evergreen Broadleaf Forests,0.06,0.06,149,7,0
108,SSA_Subtropical dry forest_Deciduous Broadleaf Forests,0,0,86,1,1
109,SSA_Subtropical dry forest_Closed Shrublands,0.12,0.1,83,19,0
110,SSA_Subtropical dry forest_Open Shrublands,0.2,0.18,47,6,0
111,SSA_Subtropical dry forest_Woody Savannas,0.08,0.07,121,12,0
112,SSA_Subtropical dry forest_Savannas,0.1,0.09,93,14,0
113,SSA_Subtropical dry forest_Grasslands,0.13,0.12,72,15,0
114,SSA_Subtropical dry forest_Permanent Wetlands,0.07,0.06,134,13,0
115,SSA_Subtropical dry forest_Croplands,0.23,0.21,42,11,0
116,SSA_Subtropical dry forest_Urban and Built-up Lands,0,0,41,28,1
117,SSA_Subtropical dry forest_Cropland/Natural Vegetation Mosaics,0.11,0.09,91,20,0
118,SSA_Subtropical dry forest_Barren,0,0,9,11,1
119,SSA_Subtropical dry forest_Water Bodies,0,0,24,18,1
120,SSA_Subtropical mountain system_Evergreen Needleleaf Forests,0.08,0.07,121,8,0
121,SSA_Subtropical mountain system_Evergreen Broadleaf Forests,0.08,0.07,126,7,0
122,SSA_Subtropical mountain system_Deciduous Broadleaf Forests,0.1,0.09,102,8,0
123,SSA_Subtropical mountain system_Mixed Forests,0.09,0.08,114,6,0
124,SSA_Subtropical mountain system_Closed Shrublands,0.17,0.16,58,11,0
125,SSA_Subtropical mountain system_Open Shrublands,0.15,0.14,66,12,0
126,SSA_Subtropical mountain system_Woody Savannas,0.1,0.09,105,10,0
127,SSA_Subtropical mountain system_Savannas,0.11,0.1,90,11,0
128,SSA_Subtropical mountain system_Grasslands,0.2,0.18,49,14,0
129,SSA_Subtropical mountain system_Permanent Wetlands,0.16,0.15,62,9,0
130,SSA_Subtropical mountain system_Croplands,0.67,0.6,15,6,0
131,SSA_Subtropical mountain system_Urban and Built-up Lands,0,0,35,21,1
132,SSA_Subtropical mountain system_Cropland/Natural Vegetation Mosaics,0.26,0.24,38,11,0
133,SSA_Subtropical mountain system_Barren,0,0,7,8,1
134,SSA_Subtropical mountain system_Water Bodies,0,0,5,7,1
135,SSA_Water_Evergreen Broadleaf Forests,0,0,111,47,1
136,SSA_Water_Deciduous Broadleaf Forests,0,0,76,22,1
137,SSA_Water_Mixed Forests,0,0,78,19,1
138,SSA_Water_Closed Shrublands,0,0,32,20,1
139,SSA_Water_Open Shrublands,0,0,20,16,1
140,SSA_Water_Woody Savannas,0,0,71,30,1
141,SSA_Water_Savannas,0,0,45,19,1
142,SSA_Water_Grasslands,0,0,22,14,1
143,SSA_Water_Permanent Wetlands,0,0,27,21,1
144,SSA_Water_Croplands,0,0,30,16,1
145,SSA_Water_Urban and Built-up Lands,0,0,22,13,1
146,SSA_Water_Cropland/Natural Vegetation Mosaics,0,0,45,16,1
147,SSA_Water_Barren,0,0,13,12,1
148,SSA_Water_Water Bodies,0,0,15,15,1
149,LATAM_Tropical rainforest_Evergreen Needleleaf Forests,0.14,0.06,172,29,0
150,LATAM_Tropical rainforest_Evergreen Broadleaf Forests,0.08,0.03,288,13,0
151,LATAM_Tropical rainforest_Deciduous Broadleaf Forests,0.12,0.05,199,21,0
152,LATAM_Tropical rainforest_Mixed Forests,0.16,0.07,150,22,0
153,LATAM_Tropical rainforest_Closed Shrublands,0.11,0.05,209,15,0
154,LATAM_Tropical rainforest_Open Shrublands,0.22,0.09,106,60,0
155,LATAM_Tropical rainforest_Woody Savannas,0.11,0.05,215,26,0
156,LATAM_Tropical rainforest_Savannas,0.15,0.07,153,26,0
157,LATAM_Tropical rainforest_Grasslands,0.15,0.06,162,32,0
158,LATAM_Tropical rainforest_Permanent Wetlands,0.09,0.04,250,21,0
159,LATAM_Tropical rainforest_Croplands,0.28,0.12,83,23,0
160,LATAM_Tropical rainforest_Urban and Built-up Lands,0,0,30,34,1
161,LATAM_Tropical rainforest_Cropland/Natural Vegetation Mosaics,0.3,0.12,80,17,0
162,LATAM_Tropical rainforest_Barren,0,0,28,39,1
163,LATAM_Tropical rainforest_Water Bodies,0,0,71,64,1
164,LATAM_Tropical moist forest_Evergreen Needleleaf Forests,0.23,0.1,92,10,0
165,LATAM_Tropical moist forest_Evergreen Broadleaf Forests,0.07,0.03,283,23,0
166,LATAM_Tropical moist forest_Deciduous Broadleaf Forests,0.11,0.05,182,11,0
167,LATAM_Tropical moist forest_Mixed Forests,0.15,0.07,139,15,0
168,LATAM_Tropical moist forest_Closed Shrublands,0.2,0.09,104,20,0
169,LATAM_Tropical moist forest_Open Shrublands,0.23,0.1,92,11,0
170,LATAM_Tropical moist forest_Woody Savannas,0.13,0.06,163,28,0
171,LATAM_Tropical moist forest_Savannas,0.18,0.08,114,24,0
172,LATAM_Tropical moist forest_Grasslands,0.27,0.12,77,25,0
173,LATAM_Tropical moist forest_Permanent Wetlands,0.17,0.07,126,39,0
174,LATAM_Tropical moist forest_Croplands,0.38,0.17,55,15,0
175,LATAM_Tropical moist forest_Urban and Built-up Lands,0,0,17,17,1
176,LATAM_Tropical moist forest_Cropland/Natural Vegetation Mosaics,0.27,0.12,76,17,0
177,LATAM_Tropical moist forest_Barren,0,0,13,18,1
178,LATAM_Tropical moist forest_Water Bodies,0,0,25,35,1
179,LATAM_Tropical dry forest_Evergreen Needleleaf Forests,0.19,0.12,82,2,0
180,LATAM_Tropical dry forest_Evergreen Broadleaf Forests,0.1,0.06,157,18,0
181,LATAM_Tropical dry forest_Deciduous Needleleaf Forests,0,0,14,1,1
182,LATAM_Tropical dry forest_Deciduous Broadleaf Forests,0.12,0.07,131,11,0
183,LATAM_Tropical dry forest_Mixed Forests,0.12,0.07,130,13,0
184,LATAM_Tropical dry forest_Closed Shrublands,0.21,0.13,73,14,0
185,LATAM_Tropical dry forest_Open Shrublands,0.31,0.19,51,16,0
186,LATAM_Tropical dry forest_Woody Savannas,0.12,0.07,134,14,0
187,LATAM_Tropical dry forest_Savannas,0.15,0.09,104,15,0
188,LATAM_Tropical dry forest_Grasslands,0.27,0.17,57,16,0
189,LATAM_Tropical dry forest_Permanent Wetlands,0.17,0.1,92,21,0
190,LATAM_Tropical dry forest_Croplands,0.29,0.18,53,16,0
191,LATAM_Tropical dry forest_Urban and Built-up Lands,0,0,14,18,1
192,LATAM_Tropical dry forest_Cropland/Natural Vegetation Mosaics,0.23,0.14,68,14,0
193,LATAM_Tropical dry forest_Barren,0,0,4,9,1
194,LATAM_Tropical dry forest_Water Bodies,0,0,11,16,1
195,LATAM_Tropical shrubland_Evergreen Broadleaf Forests,0.07,0.07,215,16,0
196,LATAM_Tropical shrubland_Deciduous Broadleaf Forests,0.09,0.08,176,7,0
197,LATAM_Tropical shrubland_Mixed Forests,0.09,0.08,179,7,0
198,LATAM_Tropical shrubland_Closed Shrublands,0.25,0.23,63,7,0
199,LATAM_Tropical shrubland_Open Shrublands,0.62,0.55,26,20,0
200,LATAM_Tropical shrubland_Woody Savannas,0.08,0.07,208,10,0
201,LATAM_Tropical shrubland_Savannas,0.11,0.1,151,20,0
202,LATAM_Tropical shrubland_Grasslands,0.21,0.18,78,29,0
203,LATAM_Tropical shrubland_Permanent Wetlands,0.13,0.12,124,15,0
204,LATAM_Tropical shrubland_Croplands,0.19,0.17,84,24,0
205,LATAM_Tropical shrubland_Urban and Built-up Lands,0,0,9,22,1
206,LATAM_Tropical shrubland_Cropland/Natural Vegetation Mosaics,0.14,0.13,113,24,0
207,LATAM_Tropical shrubland_Barren,0,0,3,5,1
208,LATAM_Tropical shrubland_Water Bodies,0,0,21,23,1
209,LATAM_Tropical desert_Open Shrublands,0,0,1,1,1
210,LATAM_Tropical desert_Savannas,0,0,2,2,1
211,LATAM_Tropical desert_Grasslands,0,0,2,2,1
212,LATAM_Tropical desert_Permanent Wetlands,0,0,9,1,1
213,LATAM_Tropical desert_Croplands,0,0,6,8,1
214,LATAM_Tropical desert_Urban and Built-up Lands,0,0,3,3,1
215,LATAM_Tropical desert_Barren,0,0,1,1,1
216,LATAM_Tropical desert_Water Bodies,0,0,2,2,1
217,LATAM_Tropical mountain system_Evergreen Needleleaf Forests,0.07,0.03,255,13,0
218,LATAM_Tropical mountain system_Evergreen Broadleaf Forests,0.06,0.03,287,20,0
219,LATAM_Tropical mountain system_Deciduous Needleleaf Forests,0,0,221,1,1
220,LATAM_Tropical mountain system_Deciduous Broadleaf Forests,0.12,0.05,146,12,0
221,LATAM_Tropical mountain system_Mixed Forests,0.12,0.05,150,31,0
222,LATAM_Tropical mountain system_Closed Shrublands,0.08,0.04,209,37,0
223,LATAM_Tropical mountain system_Open Shrublands,0.63,0.27,28,29,0
224,LATAM_Tropical mountain system_Woody Savannas,0.08,0.03,222,24,0
225,LATAM_Tropical mountain system_Savannas,0.11,0.05,160,27,0
226,LATAM_Tropical mountain system_Grasslands,0.19,0.08,91,37,0
227,LATAM_Tropical mountain system_Permanent Wetlands,0.07,0.03,265,34,0
228,LATAM_Tropical mountain system_Croplands,0.26,0.11,68,31,0
229,LATAM_Tropical mountain system_Urban and Built-up Lands,0,0,19,28,1
230,LATAM_Tropical mountain system_Cropland/Natural Vegetation Mosaics,0.12,0.05,142,43,0
231,LATAM_Tropical mountain system_Permanent Snow and Ice,0,0,7,8,1
232,LATAM_Tropical mountain system_Barren,0,0,1,7,1
233,LATAM_Tropical mountain system_Water Bodies,0,0,8,15,1
234,LATAM_Subtropical humid forest_Evergreen Needleleaf Forests,0.08,0.07,127,22,0
235,LATAM_Subtropical humid forest_Evergreen Broadleaf Forests,0.06,0.05,179,12,0
236,LATAM_Subtropical humid forest_Deciduous Broadleaf Forests,0.09,0.08,110,24,0
237,LATAM_Subtropical humid forest_Mixed Forests,0.06,0.05,180,13,0
238,LATAM_Subtropical humid forest_Closed Shrublands,0.22,0.2,45,5,0
239,LATAM_Subtropical humid forest_Open Shrublands,0.26,0.23,39,3,0
240,LATAM_Subtropical humid forest_Woody Savannas,0.07,0.07,136,15,0
241,LATAM_Subtropical humid forest_Savannas,0.1,0.09,104,16,0
242,LATAM_Subtropical humid forest_Grasslands,0.26,0.23,39,16,0
243,LATAM_Subtropical humid forest_Permanent Wetlands,0.09,0.08,115,26,0
244,LATAM_Subtropical humid forest_Croplands,0.4,0.36,25,13,0
245,LATAM_Subtropical humid forest_Urban and Built-up Lands,0,0,19,23,1
246,LATAM_Subtropical humid forest_Cropland/Natural Vegetation Mosaics,0.14,0.12,72,12,0
247,LATAM_Subtropical humid forest_Barren,0,0,4,8,1
248,LATAM_Subtropical humid forest_Water Bodies,0,0,12,20,1
249,LATAM_Subtropical dry forest_Evergreen Needleleaf Forests,0,0,142,52,1
250,LATAM_Subtropical dry forest_Deciduous Broadleaf Forests,0,0,96,1,1
251,LATAM_Subtropical dry forest_Mixed Forests,0.05,0.05,292,25,0
252,LATAM_Subtropical dry forest_Woody Savannas,0,0,70,14,1
253,LATAM_Subtropical dry forest_Savannas,0,0,81,85,1
