Key*,LULC,rmax,rmaxSD,K,KSD,TOF
85,SSA_Tropical mountain system_Closed forest evergreen broad leaf,0.06,0.08,340,18,0
86,SSA_Tropical mountain system_Closed forest deciduous broad leaf,0.16,0.19,141,39,0
87,SSA_Tropical mountain system_Closed forest undefined,0.12,0.15,176,42,0
88,SSA_Tropical mountain system_Open forest evergreen broad leaf,0.14,0.18,153,33,0
89,SSA_Tropical mountain system_Open forest deciduous broad leaf,0.21,0.26,104,24,0
90,SSA_Tropical mountain system_Open forest undefined,0.27,0.33,82,31,0
91,SSA_Subtropical humid forest_Shrubs,0.14,0.12,74,14,0
92,SSA_Subtropical humid forest_Herbaceous vegetation,0.16,0.14,63,17,0
93,SSA_Subtropical humid forest_Agriculture,0.14,0.13,71,19,0
94,SSA_Subtropical humid forest_Urban built up,0,0,2,2,1
95,SSA_Subtropical humid forest_Bare sparse vegetation,0,0,0.1743,0.0872,1
96,SSA_Subtropical humid forest_Permanent water bodies,0,0,10,10,1
97,SSA_Subtropical humid forest_Herbaceous wetland,0.11,0.1,87,21,0
98,SSA_Subtropical humid forest_Closed forest evergreen broad leaf,0.05,0.04,205,25,0
99,SSA_Subtropical humid forest_Closed forest deciduous broad leaf,0.07,0.06,145,24,0
100,SSA_Subtropical humid forest_Closed forest mixed,0.06,0.05,171,5,0
101,SSA_Subtropical humid forest_Closed forest undefined,0.07,0.07,137,22,0
102,SSA_Subtropical humid forest_Open forest evergreen broad leaf,0.07,0.07,134,3,0
103,SSA_Subtropical humid forest_Open forest deciduous broad leaf,0.09,0.08,113,14,0
104,SSA_Subtropical humid forest_Open forest mixed,0.13,0.12,76,6,0
105,SSA_Subtropical humid forest_Open forest undefined,0.1,0.09,103,19,0
106,SSA_Subtropical humid forest_Oceans seas,0,0,10,10,1
107,SSA_Subtropical dry forest_Shrubs,0.18,0.17,52,14,0
108,SSA_Subtropical dry forest_Herbaceous vegetation,0.21,0.19,46,18,0
109,SSA_Subtropical dry forest_Agriculture,0.29,0.26,33,12,0
110,SSA_Subtropical dry forest_Urban built up,0,0,2,2,1
111,SSA_Subtropical dry forest_Bare sparse vegetation,0,0,0.0612,0.0306,1
112,SSA_Subtropical dry forest_Permanent water bodies,0,0,10,10,1
113,SSA_Subtropical dry forest_Herbaceous wetland,0.17,0.15,58,5,0
114,SSA_Subtropical dry forest_Closed forest evergreen broad leaf,0.05,0.04,194,26,0
115,SSA_Subtropical dry forest_Closed forest deciduous broad leaf,0.05,0.05,185,21,0
116,SSA_Subtropical dry forest_Closed forest mixed,0.18,0.16,53,0,0
117,SSA_Subtropical dry forest_Closed forest undefined,0.07,0.06,136,19,0
118,SSA_Subtropical dry forest_Open forest evergreen broad leaf,0.07,0.06,135,0,0
119,SSA_Subtropical dry forest_Open forest deciduous broad leaf,0.07,0.07,131,1,0
120,SSA_Subtropical dry forest_Open forest undefined,0.09,0.08,107,13,0
121,SSA_Subtropical dry forest_Oceans seas,0,0,10,10,1
122,SSA_Subtropical mountain system_Shrubs,0.24,0.22,41,21,0
123,SSA_Subtropical mountain system_Herbaceous vegetation,0.37,0.33,27,17,0
124,SSA_Subtropical mountain system_Agriculture,0.48,0.43,21,17,0
125,SSA_Subtropical mountain system_Urban built up,0,0,2,2,1
126,SSA_Subtropical mountain system_Bare sparse vegetation,0,0,0.2395,0.1197,1
127,SSA_Subtropical mountain system_Permanent water bodies,0,0,10,10,1
128,SSA_Subtropical mountain system_Herbaceous wetland,0.33,0.3,30,17,0
129,SSA_Subtropical mountain system_Closed forest evergreen broad leaf,0.06,0.06,157,12,0
130,SSA_Subtropical mountain system_Closed forest deciduous broad leaf,0.07,0.06,153,13,0
131,SSA_Subtropical mountain system_Closed forest undefined,0.08,0.07,121,15,0
132,SSA_Subtropical mountain system_Open forest deciduous broad leaf,0.09,0.08,112,19,0
133,SSA_Subtropical mountain system_Open forest undefined,0.11,0.1,88,20,0
134,SSA_Water_Shrubs,0.02,0.01,47,21,0
135,SSA_Water_Herbaceous vegetation,0.02,0.01,54,23,0
136,SSA_Water_Agriculture,0.02,0.01,47,20,0
137,SSA_Water_Urban built up,0,0,2,2,1
138,SSA_Water_Bare sparse vegetation,0,0,0.029,0.0145,1
139,SSA_Water_Permanent water bodies,0,0,10,10,1
140,SSA_Water_Herbaceous wetland,0.02,0.01,29,18,0
141,SSA_Water_Closed forest evergreen broad leaf,0.02,0.01,314,18,0
142,SSA_Water_Closed forest deciduous broad leaf,0.02,0.01,145,21,0
143,SSA_Water_Closed forest undefined,0.02,0.01,161,41,0
144,SSA_Water_Open forest evergreen broad leaf,0.02,0.01,109,0,0
145,SSA_Water_Open forest deciduous broad leaf,0.02,0.01,103,14,0
146,SSA_Water_Open forest undefined,0.02,0.01,88,21,0
147,LATAM_Tropical rainforest_Shrubs,0.18,0.08,132,32,0
148,LATAM_Tropical rainforest_Herbaceous vegetation,0.2,0.08,118,29,0
149,LATAM_Tropical rainforest_Agriculture,0.25,0.11,95,24,0
150,LATAM_Tropical rainforest_Urban built up,0,0,2,2,1
151,LATAM_Tropical rainforest_Bare sparse vegetation,0,0,2.0229,1.0114,1
152,LATAM_Tropical rainforest_Permanent water bodies,0,0,10,10,1
153,LATAM_Tropical rainforest_Herbaceous wetland,0.15,0.06,154,39,0
154,LATAM_Tropical rainforest_Closed forest evergreen broad leaf,0.06,0.03,388,35,0
155,LATAM_Tropical rainforest_Closed forest deciduous broad leaf,0.19,0.08,122,26,0
156,LATAM_Tropical rainforest_Closed forest mixed,0.12,0.05,204,30,0
157,LATAM_Tropical rainforest_Closed forest undefined,0.11,0.05,209,37,0
158,LATAM_Tropical rainforest_Open forest evergreen broad leaf,0.12,0.05,190,27,0
159,LATAM_Tropical rainforest_Open forest deciduous broad leaf,0.26,0.11,92,11,0
160,LATAM_Tropical rainforest_Open forest mixed,0.12,0.05,200,17,0
161,LATAM_Tropical rainforest_Open forest undefined,0.15,0.06,162,31,0
162,LATAM_Tropical rainforest_Oceans seas,0,0,10,10,1
163,LATAM_Tropical moist forest_Shrubs,0.36,0.16,57,15,0
164,LATAM_Tropical moist forest_Herbaceous vegetation,0.35,0.15,60,18,0
165,LATAM_Tropical moist forest_Agriculture,0.35,0.16,59,17,0
166,LATAM_Tropical moist forest_Urban built up,0,0,2,2,1
167,LATAM_Tropical moist forest_Bare sparse vegetation,0,0,0.3677,0.1839,1
168,LATAM_Tropical moist forest_Permanent water bodies,0,0,10,10,1
169,LATAM_Tropical moist forest_Herbaceous wetland,0.27,0.12,78,23,0
170,LATAM_Tropical moist forest_Closed forest evergreen needle leaf,0.28,0.12,74,0,0
171,LATAM_Tropical moist forest_Closed forest evergreen broad leaf,0.07,0.03,291,53,0
172,LATAM_Tropical moist forest_Closed forest deciduous broad leaf,0.15,0.07,139,15,0
173,LATAM_Tropical moist forest_Closed forest mixed,0.13,0.06,164,12,0
174,LATAM_Tropical moist forest_Closed forest undefined,0.21,0.09,100,25,0
175,LATAM_Tropical moist forest_Open forest evergreen broad leaf,0.17,0.07,126,24,0
176,LATAM_Tropical moist forest_Open forest deciduous broad leaf,0.22,0.1,93,12,0
177,LATAM_Tropical moist forest_Open forest mixed,0.36,0.16,58,0,0
178,LATAM_Tropical moist forest_Open forest undefined,0.26,0.11,80,21,0
179,LATAM_Tropical moist forest_Oceans seas,0,0,10,10,1
180,LATAM_Tropical dry forest_Shrubs,0.35,0.21,45,10,0
181,LATAM_Tropical dry forest_Herbaceous vegetation,0.29,0.18,54,14,0
182,LATAM_Tropical dry forest_Agriculture,0.32,0.2,49,13,0
183,LATAM_Tropical dry forest_Urban built up,0,0,2,2,1
184,LATAM_Tropical dry forest_Bare sparse vegetation,0,0,0.0857,0.0428,1
185,LATAM_Tropical dry forest_Permanent water bodies,0,0,10,10,1
186,LATAM_Tropical dry forest_Herbaceous wetland,0.25,0.15,62,22,0
187,LATAM_Tropical dry forest_Closed forest evergreen needle leaf,0.18,0.11,87,6,0
188,LATAM_Tropical dry forest_Closed forest evergreen broad leaf,0.1,0.06,154,19,0
189,LATAM_Tropical dry forest_Closed forest deciduous broad leaf,0.14,0.08,113,18,0
190,LATAM_Tropical dry forest_Closed forest mixed,0.12,0.07,133,23,0
191,LATAM_Tropical dry forest_Closed forest undefined,0.17,0.11,91,19,0
192,LATAM_Tropical dry forest_Open forest evergreen needle leaf,0.23,0.14,67,0,0
193,LATAM_Tropical dry forest_Open forest evergreen broad leaf,0.13,0.08,123,20,0
194,LATAM_Tropical dry forest_Open forest deciduous broad leaf,0.24,0.15,66,11,0
195,LATAM_Tropical dry forest_Open forest mixed,0.22,0.14,70,17,0
196,LATAM_Tropical dry forest_Open forest undefined,0.23,0.14,69,16,0
197,LATAM_Tropical dry forest_Oceans seas,0,0,10,10,1
198,LATAM_Tropical shrubland_Shrubs,0.41,0.37,39,13,0
199,LATAM_Tropical shrubland_Herbaceous vegetation,0.37,0.33,43,19,0
200,LATAM_Tropical shrubland_Agriculture,0.3,0.27,53,13,0
201,LATAM_Tropical shrubland_Urban built up,0,0,2,2,1
202,LATAM_Tropical shrubland_Bare sparse vegetation,0,0,0.0562,0.0281,1
203,LATAM_Tropical shrubland_Permanent water bodies,0,0,10,10,1
204,LATAM_Tropical shrubland_Herbaceous wetland,0.33,0.29,49,11,0
205,LATAM_Tropical shrubland_Closed forest evergreen broad leaf,0.09,0.08,173,18,0
206,LATAM_Tropical shrubland_Closed forest deciduous broad leaf,0.18,0.17,87,0,0
207,LATAM_Tropical shrubland_Closed forest undefined,0.12,0.11,134,13,0
208,LATAM_Tropical shrubland_Open forest evergreen broad leaf,0.16,0.14,102,35,0
209,LATAM_Tropical shrubland_Open forest deciduous broad leaf,0.3,0.27,54,0,0
210,LATAM_Tropical shrubland_Open forest undefined,0.16,0.14,102,14,0
211,LATAM_Tropical shrubland_Oceans seas,0,0,10,10,1
212,LATAM_Tropical desert_Shrubs,0.025,0.0125,25,5,0
213,LATAM_Tropical desert_Herbaceous vegetation,0.025,0.0125,26,4,0
214,LATAM_Tropical desert_Agriculture,0.025,0.0125,32,5,0
215,LATAM_Tropical desert_Urban built up,0,0,2,2,1
216,LATAM_Tropical desert_Bare sparse vegetation,0,0,0.0095,0.0048,1
217,LATAM_Tropical desert_Permanent water bodies,0,0,10,10,1
218,LATAM_Tropical desert_Herbaceous wetland,0.025,0.0125,16,0,0
219,LATAM_Tropical desert_Closed forest undefined,0.025,0.0125,48,14,0
220,LATAM_Tropical desert_Open forest evergreen broad leaf,0.025,0.0125,26,0,0
221,LATAM_Tropical desert_Open forest undefined,0.025,0.0125,25,18,0
222,LATAM_Tropical desert_Oceans seas,0,0,10,10,1
223,LATAM_Tropical mountain system_Shrubs,0.27,0.1,65,20,0
224,LATAM_Tropical mountain system_Herbaceous vegetation,0.29,0.1,61,20,0
225,LATAM_Tropical mountain system_Agriculture,0.24,0.09,74,27,0
226,LATAM_Tropical mountain system_Urban built up,0,0,2,2,1
227,LATAM_Tropical mountain system_Bare sparse vegetation,0,0,0.0192,0.0096,1
228,LATAM_Tropical mountain system_Snow and ice,0,0,0.0151,0.0076,1
229,LATAM_Tropical mountain system_Permanent water bodies,0,0,10,10,1
230,LATAM_Tropical mountain system_Herbaceous wetland,0.15,0.06,116,36,0
231,LATAM_Tropical mountain system_Closed forest evergreen needle leaf,0.13,0.05,132,11,0
232,LATAM_Tropical mountain system_Closed forest evergreen broad leaf,0.06,0.02,273,20,0
233,LATAM_Tropical mountain system_Closed forest deciduous broad leaf,0.11,0.04,163,8,0
234,LATAM_Tropical mountain system_Closed forest mixed,0.12,0.04,144,20,0
235,LATAM_Tropical mountain system_Closed forest undefined,0.11,0.04,161,26,0
236,LATAM_Tropical mountain system_Open forest evergreen needle leaf,0.2,0.07,89,15,0
237,LATAM_Tropical mountain system_Open forest evergreen broad leaf,0.12,0.05,142,23,0
238,LATAM_Tropical mountain system_Open forest deciduous broad leaf,0.19,0.07,93,12,0
239,LATAM_Tropical mountain system_Open forest mixed,0.17,0.06,104,14,0
240,LATAM_Tropical mountain system_Open forest undefined,0.17,0.06,106,26,0
241,LATAM_Subtropical humid forest_Shrubs,0.2,0.18,51,15,0
242,LATAM_Subtropical humid forest_Herbaceous vegetation,0.21,0.19,47,14,0
243,LATAM_Subtropical humid forest_Agriculture,0.23,0.21,43,14,0
244,LATAM_Subtropical humid forest_Urban built up,0,0,2,2,1
245,LATAM_Subtropical humid forest_Bare sparse vegetation,0,0,0.1017,0.0508,1
246,LATAM_Subtropical humid forest_Permanent water bodies,0,0,10,10,1
247,LATAM_Subtropical humid forest_Herbaceous wetland,0.24,0.21,42,18,0
248,LATAM_Subtropical humid forest_Closed forest evergreen broad leaf,0.07,0.06,151,12,0
249,LATAM_Subtropical humid forest_Closed forest deciduous broad leaf,0.1,0.09,97,11,0
250,LATAM_Subtropical humid forest_Closed forest undefined,0.1,0.09,96,18,0
251,LATAM_Subtropical humid forest_Open forest evergreen broad leaf,0.1,0.09,105,12,0
252,LATAM_Subtropical humid forest_Open forest deciduous broad leaf,0.11,0.1,88,10,0
253,LATAM_Subtropical humid forest_Open forest undefined,0.12,0.11,84,16,0
254,LATAM_Subtropical humid forest_Oceans seas,0,0,10,10,1
255,LATAM_Subtropical dry forest_Shrubs,0.59,0.53,27,0,0
256,LATAM_Subtropical dry forest_Herbaceous vegetation,0.18,0.17,87,4,0
