Key*,LULC,rmax,rmaxSD,K,KSD,TOF
231,LATAM_Tropical mountain system_Permanent water bodies,0,0,14,25,1
232,LATAM_Tropical mountain system_Herbaceous wetland,0,0,22,40,1
233,LATAM_Tropical mountain system_Closed forest evergreen needle leaf,0.13,0.06,138,11,0
234,LATAM_Tropical mountain system_Closed forest evergreen broad leaf,0.06,0.03,280,19,0
235,LATAM_Tropical mountain system_Closed forest deciduous broad leaf,0.12,0.05,146,10,0
236,LATAM_Tropical mountain system_Closed forest mixed,0.11,0.05,165,19,0
237,LATAM_Tropical mountain system_Closed forest undefined,0.06,0.03,285,29,0
238,LATAM_Tropical mountain system_Open forest evergreen needle leaf,0,0,55,25,1
239,LATAM_Tropical mountain system_Open forest evergreen broad leaf,0.09,0.04,188,21,0
240,LATAM_Tropical mountain system_Open forest deciduous broad leaf,0.15,0.06,119,7,0
241,LATAM_Tropical mountain system_Open forest mixed,0,0,46,18,1
242,LATAM_Tropical mountain system_Open forest undefined,0.12,0.05,146,24,0
243,LATAM_Tropical mountain system_Oceans seas,0,0,51,37,1
244,LATAM_Subtropical humid forest_Shrubs,0.16,0.14,64,18,0
245,LATAM_Subtropical humid forest_Herbaceous vegetation,0,0,12,17,1
246,LATAM_Subtropical humid forest_Agriculture,0,0,10,15,1
247,LATAM_Subtropical humid forest_Urban built up,0,0,19,21,1
248,LATAM_Subtropical humid forest_Bare sparse vegetation,0,0,4,7,1
249,LATAM_Subtropical humid forest_Permanent water bodies,0,0,22,29,1
250,LATAM_Subtropical humid forest_Herbaceous wetland,0,0,23,25,1
251,LATAM_Subtropical humid forest_Closed forest evergreen broad leaf,0.06,0.05,167,14,0
252,LATAM_Subtropical humid forest_Closed forest deciduous broad leaf,0.07,0.06,151,17,0
253,LATAM_Subtropical humid forest_Closed forest undefined,0.07,0.06,150,19,0
254,LATAM_Subtropical humid forest_Open forest evergreen broad leaf,0.09,0.08,115,14,0
255,LATAM_Subtropical humid forest_Open forest deciduous broad leaf,0.09,0.08,108,9,0
256,LATAM_Subtropical humid forest_Open forest undefined,0.08,0.07,121,22,0
257,LATAM_Subtropical humid forest_Oceans seas,0,0,25,29,1
258,LATAM_Subtropical dry forest_Herbaceous vegetation,0,0,52,56,1
259,LATAM_Subtropical dry forest_Bare sparse vegetation,0,0,40,47,1
260,LATAM_Subtropical dry forest_Snow and ice,0,0,1,1,1
261,LATAM_Subtropical dry forest_Permanent water bodies,0,0,36,17,1
262,LATAM_Subtropical dry forest_Closed forest evergreen broad leaf,0.06,0.05,282,24,0
263,LATAM_Subtropical dry forest_Closed forest deciduous broad leaf,0,0,66,8,1
264,LATAM_Subtropical dry forest_Closed forest undefined,0,0,234,48,1
265,LATAM_Subtropical dry forest_Open forest undefined,0,0,231,1,1
266,LATAM_Subtropical steppe_Shrubs,0.8,0.72,20,10,0
267,LATAM_Subtropical steppe_Herbaceous vegetation,0,0,4,6,1
268,LATAM_Subtropical steppe_Agriculture,0,0,5,5,1
269,LATAM_Subtropical steppe_Urban built up,0,0,4,6,1
270,LATAM_Subtropical steppe_Bare sparse vegetation,0,0,1,1,1
271,LATAM_Subtropical steppe_Permanent water bodies,0,0,5,9,1
272,LATAM_Subtropical steppe_Herbaceous wetland,0,0,5,10,1
273,LATAM_Subtropical steppe_Closed forest evergreen needle leaf,0.2,0.18,80,10,0
274,LATAM_Subtropical steppe_Closed forest evergreen broad leaf,0.19,0.17,84,4,0
275,LATAM_Subtropical steppe_Closed forest deciduous broad leaf,0.2,0.18,82,6,0
276,LATAM_Subtropical steppe_Closed forest mixed,0.17,0.15,93,8,0
277,LATAM_Subtropical steppe_Closed forest undefined,0.19,0.17,84,6,0
278,LATAM_Subtropical steppe_Open forest evergreen needle leaf,0.27,0.24,60,6,0
279,LATAM_Subtropical steppe_Open forest evergreen broad leaf,0,0,61,13,1
280,LATAM_Subtropical steppe_Open forest deciduous broad leaf,0.25,0.22,64,5,0
281,LATAM_Subtropical steppe_Open forest mixed,0.26,0.23,62,3,0
282,LATAM_Subtropical steppe_Open forest undefined,0.25,0.22,64,8,0
283,LATAM_Subtropical steppe_Oceans seas,0,0,2,3,1
284,LATAM_Subtropical desert_No Data,0,0,1,1,1
285,LATAM_Subtropical desert_Shrubs,0,0,2,5,1
286,LATAM_Subtropical desert_Herbaceous vegetation,0,0,1,1,1
287,LATAM_Subtropical desert_Agriculture,0,0,4,3,1
288,LATAM_Subtropical desert_Urban built up,0,0,2,2,1
289,LATAM_Subtropical desert_Bare sparse vegetation,0,0,1,1,1
290,LATAM_Subtropical desert_Permanent water bodies,0,0,2,4,1
291,LATAM_Subtropical desert_Herbaceous wetland,0,0,9,8,1
292,LATAM_Subtropical desert_Closed forest evergreen needle leaf,0,0,31,21,1
293,LATAM_Subtropical desert_Closed forest evergreen broad leaf,0,0,47,10,1
294,LATAM_Subtropical desert_Closed forest deciduous broad leaf,0,0,35,20,1
295,LATAM_Subtropical desert_Closed forest mixed,0,0,32,16,1
296,LATAM_Subtropical desert_Closed forest undefined,0,0,36,17,1
297,LATAM_Subtropical desert_Open forest evergreen needle leaf,0,0,34,15,1
298,LATAM_Subtropical desert_Open forest deciduous broad leaf,0,0,25,15,1
299,LATAM_Subtropical desert_Open forest undefined,0,0,24,20,1
300,LATAM_Subtropical desert_Oceans seas,0,0,4,5,1
301,LATAM_Subtropical mountain system_Shrubs,0.2,0.18,51,15,0
302,LATAM_Subtropical mountain system_Herbaceous vegetation,0,0,7,19,1
303,LATAM_Subtropical mountain system_Agriculture,0,0,12,15,1
304,LATAM_Subtropical mountain system_Urban built up,0,0,8,12,1
305,LATAM_Subtropical mountain system_Bare sparse vegetation,0,0,2,8,1
306,LATAM_Subtropical mountain system_Snow and ice,0,0,38,62,1
307,LATAM_Subtropical mountain system_Permanent water bodies,0,0,37,51,1
308,LATAM_Subtropical mountain system_Herbaceous wetland,0,0,16,27,1
309,LATAM_Subtropical mountain system_Closed forest evergreen needle leaf,0.09,0.08,109,9,0
310,LATAM_Subtropical mountain system_Closed forest evergreen broad leaf,0.04,0.04,238,29,0
311,LATAM_Subtropical mountain system_Closed forest deciduous broad leaf,0.1,0.09,101,20,0
312,LATAM_Subtropical mountain system_Closed forest mixed,0.09,0.08,109,9,0
313,LATAM_Subtropical mountain system_Closed forest undefined,0.08,0.07,128,38,0
314,LATAM_Subtropical mountain system_Open forest evergreen needle leaf,0.13,0.12,78,11,0
315,LATAM_Subtropical mountain system_Open forest evergreen broad leaf,0.09,0.08,116,24,0
316,LATAM_Subtropical mountain system_Open forest deciduous broad leaf,0.17,0.16,58,10,0
317,LATAM_Subtropical mountain system_Open forest mixed,0.14,0.12,72,10,0
318,LATAM_Subtropical mountain system_Open forest undefined,0.12,0.11,80,16,0
319,LATAM_Subtropical mountain system_Oceans seas,0,0,3,4,1
320,LATAM_Temperate oceanic forest_Shrubs,0.11,0.02,172,19,0
321,LATAM_Temperate oceanic forest_Herbaceous vegetation,0,0,67,53,1
322,LATAM_Temperate oceanic forest_Agriculture,0,0,112,40,1
323,LATAM_Temperate oceanic forest_Urban built up,0,0,77,47,1
324,LATAM_Temperate oceanic forest_Bare sparse vegetation,0,0,47,47,1
325,LATAM_Temperate oceanic forest_Snow and ice,0,0,25,32,1
326,LATAM_Temperate oceanic forest_Permanent water bodies,0,0,67,58,1
327,LATAM_Temperate oceanic forest_Herbaceous wetland,0,0,74,73,1
328,LATAM_Temperate oceanic forest_Closed forest evergreen broad leaf,0.08,0.01,260,15,0
329,LATAM_Temperate oceanic forest_Closed forest deciduous broad leaf,0.08,0.01,259,16,0
330,LATAM_Temperate oceanic forest_Closed forest mixed,0,0,199,56,1
331,LATAM_Temperate oceanic forest_Closed forest undefined,0.08,0.01,257,22,0
332,LATAM_Temperate oceanic forest_Open forest deciduous broad leaf,0.12,0.02,171,14,0
333,LATAM_Temperate oceanic forest_Open forest undefined,0.09,0.02,211,19,0
334,LATAM_Temperate oceanic forest_Oceans seas,0,0,95,57,1
335,LATAM_Temperate steppe_Shrubs,0.18,0.01,31,29,0
336,LATAM_Temperate steppe_Herbaceous vegetation,0,0,4,12,1
337,LATAM_Temperate steppe_Agriculture,0,0,14,24,1
338,LATAM_Temperate steppe_Urban built up,0,0,11,20,1
339,LATAM_Temperate steppe_Bare sparse vegetation,0,0,1,3,1
340,LATAM_Temperate steppe_Snow and ice,0,0,15,14,1
341,LATAM_Temperate steppe_Permanent water bodies,0,0,25,39,1
